[2023-10-21 16:50:24,302: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:50:24,303: INFO: common: created directory at artifacts]
[2023-10-21 16:50:24,314: INFO: common: created directory at artifacts/data_transformation]
[2023-10-21 16:50:24,445: INFO: data_transformation: Splited data into training and test sets]
[2023-10-21 16:50:24,446: INFO: data_transformation: (614, 20)]
[2023-10-21 16:50:24,446: INFO: data_transformation: (268, 20)]
[2023-10-21 16:50:24,448: INFO: main: >>>>><< stage Data Transformation stage completed]
[2023-10-21 17:11:08,852: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:11:08,856: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 17:11:08,859: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:11:08,860: INFO: common: created directory at artifacts]
[2023-10-21 17:11:08,861: INFO: common: created directory at artifacts/model_trainer]
[2023-10-21 17:11:38,793: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:11:38,796: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 17:11:38,799: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:11:38,800: INFO: common: created directory at artifacts]
[2023-10-21 17:11:38,801: INFO: common: created directory at artifacts/model_trainer]
[2023-10-21 17:39:14,818: INFO: main: >>>>>>>>>>>< stage Data ingestion stage stared <<<<<<<<<]
[2023-10-21 17:39:14,822: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:39:14,825: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 17:39:14,827: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:39:14,828: INFO: common: created directory at artifacts]
[2023-10-21 17:39:14,829: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-21 17:39:14,831: INFO: data_ingestion: File copied from data\nba_logreg.csv to artifacts/data_ingestion/data.csv]
[2023-10-21 17:39:14,832: INFO: main: >>>>>>>>>end of Data ingestion stage<<<<<<<<<<<<]
[2023-10-21 17:39:14,832: INFO: main: >>>>>>>>>>>< stage Data Validation stage stared <<<<<<<<<]
[2023-10-21 17:39:14,837: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:39:14,838: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 17:39:14,841: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 17:39:14,842: INFO: common: created directory at artifacts]
[2023-10-21 17:39:14,843: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 17:39:14,872: INFO: main: >>>>>>>>>end of Data Validation stage<<<<<<<<<<<<]
[2023-10-21 17:39:14,872: INFO: main: >>>>>>>>> stage Data Transformation stage started<<<<<<<<<<<]
[2023-10-21 17:39:14,882: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 17:39:14,885: INFO: common: yaml file: params.yaml loaded successfully]
